pull_request_id,pr_src_title
238634,Updating cadvisor tag to v0.21.1
283473,Automated cherry pick of #73482: Always select the in-memory group/version as a target when
242127,"When limits are not set, use capacity as limits in downward API"
279035,Add more metrics for A/D Controller:
275316,add unit test for function ValidateLabelSelector and ValidateDeleteOptions
244396,Kubelet: add KillPod for new runtime API
230159,List output with differing types should be more resilient
288597,Avoid listing pods in NodeLifecycleController
288325,Automated cherry pick of #80675: fix-file-discovery
279599,delegated authz: add AlwaysAllowPaths to option struct (defaulting to /healthz)
288324,Automated cherry pick of #80675: fix-file-discovery
243825,Proposal for external dynamic provisioners
288283,Fix kubeadm file discovery
237229,"Dedicated nodes, taints, and tolerations design proposal"
277153,Implement apiserver max-requests-per-user-inflight option
245653,[WIP] Initial deployment lifecycle hooks proposal
288154,prioritization and fairness skeleton with config object processing
249535,Add initial french translations for kubectl
236090,Automated cherry pick of #16080
283317,Automated cherry pick of #73097 upstream release 1.12
212618,Add *useful* DeepEqual
280975,kubectl: copy deployment util dependency into kubectl
285633,Refactor newJoinData and add unit test
244633,Make it possible to enable controller-managed attach-detach on existing nodes
241875,Add e2e test for node problem detector
287375,Update heketi vendor dependency to v9.0.0
240426,Automated cherry pick of #21140 #23769 upstream release 1.2
288448,feat: use named array instead of array in normalizing score
245846,Per-container inode accounting test
247343,Add back e2e tests for disruption budget
280453,Fix devicePath is empty while WaitForAttach in StatefulSets
264317,default pod labels admission controller
292793,Don't save managedFields if object is too large
289562,Split field manager with interface
242902,Proposal: Revamp Custom Metrics in the HPA
290270,[migration phase 1] PodFitsHostPorts as filter plugin
241231,Proposal: persistent volume selector
213280,allow dots in config set
286886,Add Bind extension point of the scheduling framework
234660,Demo a sidecar mode within pod for java users
240224,rkt: Add pre-stop lifecycle hooks for rkt.
233159,Apache Spark Example extended to use GlusterFS Volume Plugin
286438,PoC: 2nd phase leader election for controller migration
282806,Expose kms timeout value via encryption config.
232707,Added Project Calico networking plugin tutorial
243619,Kubelet rkt CRI ImageService
245574,CRI: Fix lifecycle hook and add container lifecycle node e2e test
293757,Add NodeCIDR for detect-local-mode
