pull_request_id,pr_src_title
273134,test_schedule
240566,WIP: Change the repo to use glide instead of godep
245320,Staging 1.5 client
251812,Apibuilder/Aggregator changes
246331,New client-go structure
230280,Tiny typo on k8s.io homepage
286349,upgrade pkg/errors to 0.8.1
243184,"Cut the client repo, staging it in the main repo"
237778,Enabling DNS support in local-up-cluster.sh
209977,Add load balancing support to services.
253395,New kubectl command: `kubectl set serviceaccount`
252506,Release 1.6
291304,WIP: Upgrade kubectl to sigs.k8s.io/kustomize/api@v0.2.0
288770,[FEATURE BRANCH] 20190814 Rebase feature rate limiting w/ master
283919,client-go: update leader election example
240260,initial pull
279357,Vendor cfssl/cfssljson utilities
275467,"[WIP]Instrumentation, test and fix repo for event lost issues"
253161,"when without port specified, the heapster proxy request will fall"
288754,WIP add tests for Operation Generator
240930,CenturyLinkCloud as cloudprovider
250774,Fixed the #42412 issue.
282886,[feature branch] Sync with master
281350,[FEATURE-SERVERSIDE-APPLY] Merge master into feature-serverside-apply
286536,[FEATURE BRANCH] Rebase feature rate limiting w/ master 
292831,Skip default spreading scoring plugin for pods that define TopologySpreadConstraints
292731,Staticcheck:test/integration/examples
267392,Simple code and typo fixed.
237826,Add mesos/dcos cluster provider to run e2e tests against a DCOS cluster
237827,WIP/MESOS: Add mesos/dcos cluster provider to run e2e tests against a DCOS cluster
247848,Moved start-kubemark-master.sh from test/kubemark/ to test/kubemark/resources/
288636,kubectl: add port-forward svc/ completion
281137,[FEATURE BRANCH] Sync with master
249019,support -E and -S command in iptables
239478,Updated latest Kubernetes version to variable
244277,Release 1.1
238987,Release 1.1
237336,Systemd
237189,Release 1.1
237187,Automated cherry pick of #14736 upstream release 1.1
290810,refactor events utils in e2e
280171,Update cAdvisor godeps to v0.31.0
278892,update google/cadvisor for fix a panic bug
252602,[WIP] Implementing phases in kubeadm - step 1: phase certs
292566,do not evict high priority pods when diskPressure in k8s 1.15
282968,[INVALID] Ke 1.10 do not restart container after upgrade
284296,Release 1.10
285491,Release 1.10
284988,Release 1.10
283378,Release 1.10
246954,refactor: extract describeContainer function which gocyclo result is …
230059,Add bower components to third party
282929,Release 1.10
289186,Support specifying a custom subnet for ILB ip in GCE
289112,Update vendor k8s-cloud-provider and google API
281897,Release 1.10
231275,Kubernetes UI graph component.
280541,Automated cherry pick of #61549 upstream release 1.10
272306,Bump runc to d5b4a3e
240400,Make sure we pick up the latest release.
278477,Use ip address from CNI output
279017,Release 1.10
278562,Release 1.10
278416,Release 1.10
278258,Release 1.10
237750,Switch godeps to go15vendor
277986,[FEATURE-SERVERSIDE-APPLY] Sync with master
291234,fix comment
252212,have a test
278899,CLOSED//add imageGcWhitelist func codes that are metioned in issue #66221
282625,Revendor GCE API Go Client
280854,fix link in CHANGELOG-1.12.md
238073,Added and populated container image details inlcuding ImageCreationTi…
237088,Automated cherry pick of #17689 to release-1.1
237243,V1.1.2 libvirt coreos volume fix
236905,Jenkins: Add jobs for Trusty dev
283732,Add kubelet resource metrics v1alpha1 endpoint
284315,Correct some grammatical errors
284314,Fix 20190228
231668,Use ffjson for encoding/decoding.
233466,test pr
247589,"fix for #37180, fix create instance template failure for GCE when do cluster-up on MacOS"
252478,Add support for continuous testing of GPU node e2es in GCP.
232573,"Revert ""Version API descriptions"""
244076,"Keep vendor/ and Godep/ when creating the staging client, add a readme"
279150,[FEATURE-SERVERSIDE-APPLY] Sync with master
235935,pull from master so richie can test
285254,Update vendored dependencies
260681,Add Digital Ocean volume support
236252,Automated cherry pick of #16631 upstream release 1.1
235250,Use ugorji codec for unmarshaling JSONs
249342,[#40298] Make clear certificate path validation is not atttempted if HTTPGetAction URIScheme is HTTPS.
277827,GCE: Update cloud provider to use TPU v1 API
277901,Automated cherry pick of #64727: Update GCE cloud provider to use Cloud TPU v1 API
237424,Bump Heapster to 0.19.0 and Influxdb to 0.5 (0.9.4)
244568,Add Consul support
290137,"DO NOT MERGE: Move k8s.io/kubernetes/pkg/{api,apis} to k8s.io/internal-api/"
289023,Add FieldsType field to ManagedFields to track content format
258445,Support GCE alpha/beta api endpoint override
243326,Update etcd 2.2 references to use 3.0.x
289977,Update etcd client side to v3.4.1 in k8s 1.17
240827,vSphere Cloud Provider Implementation 
240861,Add vmware/govmomi in godep
275030,vendoring latest version of google-api-go-client
240926,Refactoring Seed Provider and updating docker image
290497,Update etcd client to v3.4.3 in k8s v1.17
250580,Add support for IP aliases for pod IPs (GCP alpha feature)
287874,Release 1.9
249650,"Bad PR, ignore"
268905,Release 1.5
291950,[WIP] Extend kubectl --dry-run to support strategies
252667,Release 1.5
252094,Release 1.5
230465,Godep: Add godep for rkt.
279188,client-go: fix arg in t.Fatalf
279023,Release 1.9
292107,Support server-side dry-run in cli-runtime REST Helper
288244,Move pkg/kubectl/cmd/util/openapi to staging
287552,[WIP] Move pkg/kubectl/cmd/util/openapi to staging
287817,WIP: ManagedFields Trie as list
286060,Use new reverse protobuf marshalling
234626,[WIP] [Do NOT merge] Use ugorji codec for marshaling/unmarshaling JSONs
232928,Initial v1 doc commit to gh-pages
286499,[WIP][DO-NOT-REVIEW] Break kubelet intertwining with other packages
262387,neg cloud provider
286734,Add json/protobuf/yaml fixtures
237946,bump(fsouza/go-dockerclient): 299d728486342c894e7fafd68e3a4b89623bef1d
277994,Release 1.9
278048,Release 1.9.7
282340,Max wait for unmount
277443,Release 1.9
262197,Release 1.4
253065,Release 1.4
253661,Release 1.4
251710,Release 1.4
251436,Release 1.4
249329,Release 1.4
276390,Release 1.9
247647,check admit for ConnectResource in resthandler.go
268472,kubernetes
251605,Xfsgrowfs
276045,Release 1.9
237665,Add missing dependencies
232239,Release 0.20
237495,Mising deps
276399,V1.9.5
282005,openapi-aggregation: speed up merging from 1 sec to 50-100 ms
293317,Bump debian base
275650,Learn
241294,Fix code generators-- make scheme building composable
247196,Release 1.0
240446,Release 1.0
238847,Release 1.0
233869,QOS: New class proposal: Scavenger 
291209,[v1.16.5] Update to go1.13.4
252126,Fix the issue in Windows kube-proxy when processing unqualified name. This is for DNS client such as ping or iwr that validate name in response and original question.
289735,update to use go1.13.4
288225,<!--  Thanks for sending a pull request!  Here are some tips for you:
287743,Release 1.14
287565,Release 1.14
287459,Release 1.14
278910,[WIP] update docker/docker dependency
237725,[do not merge] Running e2e tests on full proto-end-to-end
233467,GoogleCloudPlatform:upstream/release-1.0
233470,GoogleCloudPlatform:upstream/release-1.0
233246,Automated cherry pick of #11845 upstream release 1.0
232609,Updating swagger-ui to the latest version
268556,Clarify ExternalNames are hostnames
246696,Release 1.4
274541,Backport PRs needed to support IP alias migration from routes on GCP in Release 1.9 branch
271740,Update vendor of google.golang.org/api repo
233129,Mass doc grab
233127,Merge head docs back into the release branch.
244629,Rewrite disruption e2e test to use versioned client.
244578,Add policy API to 1.4 clientset.
230882,integrate mesos cloud provider with k8s proper
243526,Add CloudStack cloud provider (extended and refactored)
241647,Add CloudStack cloud provider
234520,[Wip] Kubernetes talks to flannel-vxlan 
251420,[Do Not Merge] [POC] containerd kubernetes integration.
281296,add kustomize as a subcommand of kubectl
279006,expose GC graph via debug handler
281657,[FEATURE-SERVERSIDE-APPLY] Merge master
271903,EXPERIMENTAL: golang/dep support
283773,Add download.ceph.com deb repo to enable newer ceph-common package
249209,Update dependencies: aws-sdk-go to 1.6.10; also cadvisor
251134,[Release 1.5] Update cadvisor godeps to v0.25.0
249041,run staging client-go update
249069,AWS: Update SDK
289753,Update API compatibility data for v1.16.0
291928,Update API compatibility data for v1.17.0
236076,Automated cherry pick of #16234 upstream release 1.1
236030,Kubelet managed etc hosts cherry pick
278455,[FEATURE BRANCH] Sync with master
284899,Fixed DSR loopback connectivity for Windows
236067,Fix typo
283348,Update AWS SDK to newest version to get support for Launch Templates on 1.11 release branch
234762,again
248836,Create k8s.io/apimachinery repo
249324,optimize NewSimpleSecretManager and cleanupOrphanedPodCgroups
243797,OpenAPI / Swagger2 spec generation
212912,Deleting OperationHandler for handling /operation endpoint on server
277457,[FEATURE-SERVERSIDE-APPLY] Sync with master
277103,[WIP]Node-Level UserNamespace implementation
246079,Verify and update client-go staging area for every PR
276476,Release 1.7
246950,Update aws-sdk-go dependency
287962,[FEATURE BRANCH] Rebase feature rate limiting w/ master
240652,Enable protobuf compilation by default
294103,[WIP] vendor: update aws-sdk-go to v1.28.2 for release-1.17
292630,Update aws-sdk-go dependency to v1.28.2
232907,generate docs for types defined in pkg/api/v*/types.go
286307,Release 1.14
282250,[FEATURE-SERVERSIDE-APPLY] Sync master
271713,"Version bump to etcd v3.2.13, grpc v1.7.5"
238726,ugorji local var reset
250077,Update etcd-client godep to 3.1.5
271511,"Version bump to etcd v3.2.11, grpc v1.7.5"
247337,Switch pod eviction client from v1alpha1 to v1beta
235457,Initial commit to enable migrating tests off of FakeClient.
247465,DigitalOcean cloud provider and volume plugin
270932,Release 1.9
285923,Release 1.14
285672,Release 1.14
246984,Support persistent volume usage for kubernetes running on Photon Controller platform
284935,Automated cherry pick of #75515: godeps: update vmware/govmomi to v0.20 release
284786,vSphere: add token auth support for tags client
