"","pull_request_id","loc_additions","loc_deletions","num_files_changed","merged_status"
"1",238634,307,61,9,"Merged"
"2",283473,307,1,6,"Merged"
"3",242127,307,3,5,"Rejected"
"4",279035,307,36,7,"Merged"
"5",275316,307,1,2,"Rejected"
"6",244396,306,6,5,"Merged"
"7",230159,306,34,10,"Merged"
"8",288597,306,71,4,"Merged"
"9",288325,306,59,7,"Merged"
"10",279599,306,16,11,"Merged"
"11",288324,306,59,7,"Merged"
"12",243825,306,31,1,"Merged"
"13",288283,306,59,7,"Merged"
"14",237229,306,0,1,"Merged"
"15",277153,305,3,6,"Rejected"
"16",245653,305,0,1,"Rejected"
"17",288154,305,31,3,"Rejected"
"18",249535,305,0,5,"Merged"
"19",236090,305,8,4,"Merged"
"20",283317,304,1,7,"Merged"
"21",212618,304,1,3,"Merged"
"22",280975,304,13,8,"Merged"
"23",285633,304,29,2,"Rejected"
"24",244633,304,45,3,"Merged"
"25",241875,304,0,1,"Merged"
"26",287375,304,26,8,"Merged"
"27",240426,304,26,4,"Merged"
"28",288448,303,72,5,"Merged"
"29",245846,303,0,3,"Merged"
"30",247343,303,0,2,"Merged"
"31",280453,303,3,5,"Rejected"
"32",264317,303,0,3,"Rejected"
"33",292793,303,16,7,"Merged"
"34",289562,303,67,9,"Merged"
"35",242902,303,0,1,"Rejected"
"36",290270,302,12,6,"Merged"
"37",241231,302,0,1,"Merged"
"38",213280,302,42,5,"Merged"
"39",286886,302,12,5,"Merged"
"40",234660,302,0,5,"Merged"
"41",240224,301,2,4,"Merged"
"42",233159,301,0,5,"Rejected"
"43",286438,301,48,6,"Rejected"
"44",282806,301,16,9,"Merged"
"45",232707,301,0,2,"Merged"
"46",243619,301,0,3,"Merged"
"47",245574,301,24,6,"Merged"
"48",293757,301,12,4,"Merged"
"49",242321,301,16,3,"Rejected"
"50",276979,300,22,9,"Merged"
"51",247174,300,35,6,"Merged"
"52",239825,300,10,6,"Merged"
"53",251272,300,26,8,"Merged"
"54",273990,300,43,5,"Merged"
"55",232021,300,35,5,"Merged"
"56",237567,300,0,1,"Merged"
"57",240776,300,0,1,"Merged"
"58",287969,299,16,6,"Rejected"
"59",230013,299,4,6,"Merged"
"60",280550,299,25,3,"Merged"
"61",209992,299,34,4,"Merged"
"62",246941,299,11,5,"Merged"
"63",231979,299,1,6,"Rejected"
"64",243852,299,7,4,"Merged"
"65",253714,299,62,10,"Merged"
"66",241561,298,0,1,"Rejected"
"67",228711,298,14,7,"Merged"
"68",251330,298,0,4,"Merged"
"69",290172,298,15,7,"Merged"
"70",293120,297,68,4,"Rejected"
"71",282553,297,26,6,"Merged"
"72",293121,297,68,4,"Rejected"
"73",245724,297,0,1,"Merged"
"74",241572,297,14,6,"Merged"
"75",281954,297,1,6,"Merged"
"76",262056,297,26,4,"Merged"
"77",278476,297,3,6,"Rejected"
"78",251744,297,58,5,"Merged"
"79",293119,297,68,4,"Rejected"
"80",292883,297,68,4,"Merged"
"81",289755,296,32,6,"Merged"
"82",279135,296,10,4,"Merged"
