,pull_request_id,loc_additions,loc_deletions,num_files_changed,merged_status
1,273134,747048,2,1479,Rejected
2,240566,726928,95939,3000,Rejected
3,245320,564126,417184,1655,Merged
4,251812,532482,0,3000,Rejected
5,246331,520087,490520,1966,Merged
6,230280,504410,1,3000,Rejected
7,286349,449084,28490,3000,Rejected
8,243184,422158,45,607,Merged
9,237778,415594,96481,2759,Rejected
10,209977,381811,122,282,Merged
11,253395,364002,302955,3000,Rejected
12,252506,346758,373426,3000,Rejected
13,291304,323068,5125,827,Rejected
14,288770,297872,177274,3000,Rejected
15,283919,275767,37301,2766,Rejected
16,240260,264365,129547,2549,Rejected
17,279357,263390,484,311,Merged
18,275467,262850,129550,3000,Rejected
19,253161,250020,601339,3001,Rejected
20,288754,243884,115537,3000,Rejected
21,240930,236428,237946,3000,Rejected
22,250774,231152,598811,3000,Rejected
23,282886,229064,131306,1550,Merged
24,281350,227411,151176,3000,Merged
25,286536,224178,50624,3000,Merged
26,292831,223876,49683,1732,Rejected
27,292731,221869,28173,2869,Rejected
28,267392,213848,218499,3000,Rejected
29,237826,207115,303232,2706,Rejected
30,237827,207115,303232,2706,Rejected
31,247848,203120,592916,3000,Rejected
32,288636,202914,166797,3000,Rejected
33,281137,202395,129501,3000,Rejected
34,249019,197212,169248,3000,Rejected
35,239478,195879,297495,2584,Rejected
36,244277,195875,297569,2585,Rejected
37,238987,195496,297451,2577,Rejected
38,237336,194502,297120,2555,Rejected
39,237189,194054,297098,2546,Rejected
40,237187,192996,297062,2532,Rejected
41,290810,191874,102988,2842,Rejected
42,280171,191219,922,118,Merged
43,278892,191078,114747,403,Rejected
44,252602,190029,331389,3005,Rejected
45,292566,189470,231304,3000,Rejected
46,282968,187781,104106,924,Rejected
47,284296,186170,105493,2319,Rejected
48,285491,186170,105493,2319,Rejected
49,284988,186170,105493,2319,Rejected
50,283378,186106,105492,2319,Rejected
51,246954,184233,136801,1694,Rejected
52,230059,182131,0,722,Merged
53,282929,177277,104018,848,Rejected
54,289186,176786,103575,234,Rejected
55,289112,176331,103513,227,Merged
56,281897,175751,103878,821,Rejected
57,231275,175000,3690,105,Rejected
58,280541,173810,103201,783,Rejected
59,272306,173649,1696,430,Rejected
60,240400,173408,54574,3000,Rejected
61,278477,172958,92065,3000,Rejected
62,279017,171013,102799,685,Rejected
63,278562,170249,102534,646,Rejected
64,278416,169864,102508,637,Rejected
65,278258,169490,102372,628,Rejected
66,237750,167648,65136,3000,Rejected
67,277986,166708,92864,644,Merged
68,291234,164639,190122,2615,Rejected
69,252212,164346,80531,3000,Rejected
70,278899,164091,71477,3000,Rejected
71,282625,159442,101399,40,Merged
72,280854,159167,1130,991,Rejected
73,238073,157667,35368,383,Rejected
74,237088,157290,293286,2508,Rejected
75,237243,156944,293021,2492,Rejected
76,236905,156766,293276,2491,Rejected
77,283732,156644,348,103,Merged
78,284315,148327,604670,3000,Rejected
79,284314,148173,604670,3000,Rejected
80,231668,146437,7,80,Rejected
81,233466,146437,7,80,Rejected
82,247589,146375,89575,3000,Rejected
83,252478,144780,30377,26,Merged
84,232573,143956,242,1057,Rejected
85,244076,143855,22551,331,Merged
86,279150,141423,33733,1643,Merged
87,235935,137810,0,825,Merged
88,285254,137191,41504,775,Merged
89,260681,135762,61483,3000,Rejected
90,236252,132051,290790,2218,Rejected
91,235250,131587,6232,25,Merged
92,249342,127488,132857,3000,Rejected
93,277827,127112,78896,23,Merged
94,277901,127105,78897,23,Merged
95,237424,125905,784,342,Rejected
96,244568,123812,10668,505,Rejected
97,290137,121720,111026,2101,Rejected
98,289023,121706,18272,917,Merged
99,258445,121584,28,16,Merged
100,243326,119594,100228,520,Merged
101,289977,119592,103676,1098,Rejected
102,240827,117333,0,352,Merged
103,240861,116479,0,347,Rejected
104,275030,116104,112168,21,Merged
105,240926,115445,16611,990,Rejected
106,290497,113699,98025,1072,Merged
107,250580,113681,2432,42,Merged
108,287874,113053,55096,2129,Rejected
109,249650,112718,190895,3000,Rejected
110,268905,112680,35685,1613,Rejected
111,291950,111706,515,44,Rejected
112,252667,111490,35275,1587,Rejected
113,252094,111395,35227,1582,Rejected
114,230465,111212,0,379,Merged
115,279188,111109,54819,2081,Rejected
116,279023,111040,54807,2076,Rejected
117,292107,110972,342,23,Merged
118,288244,110809,83,48,Merged
119,287552,108410,83,46,Rejected
120,287817,107248,47535,243,Rejected
121,286060,107197,47339,195,Merged
122,234626,106098,255,34,Rejected
123,232928,105723,0,618,Merged
124,286499,105366,98549,1334,Rejected
125,262387,104000,57603,26,Merged
126,286734,103295,61,703,Merged
127,237946,102851,3237,286,Merged
128,277994,102492,51474,1923,Rejected
129,278048,102492,51474,1923,Rejected
130,282340,102217,51355,1925,Rejected
131,277443,102171,51350,1915,Rejected
132,262197,101973,53655,1865,Rejected
133,253065,101836,53641,1863,Rejected
134,253661,101836,53641,1863,Rejected
135,251710,101679,53624,1858,Rejected
136,251436,101679,53624,1858,Rejected
137,249329,101037,53292,1841,Rejected
138,276390,100446,50819,1883,Rejected
139,247647,99490,72410,2384,Rejected
140,268472,99344,152636,3000,Rejected
141,251605,99316,55024,1555,Rejected
142,276045,98980,50365,1847,Rejected
143,237665,98957,5,177,Merged
144,232239,97828,2,539,Merged
145,237495,97590,0,172,Rejected
146,276399,97281,78538,1906,Rejected
147,282005,96571,95663,33,Merged
148,293317,95754,61718,1345,Rejected
149,275650,95716,49685,1764,Rejected
150,241294,93195,89645,272,Merged
151,247196,89689,12252,1407,Rejected
152,240446,89686,12243,1407,Rejected
153,238847,89664,12243,1407,Rejected
154,233869,85830,9903,1322,Rejected
155,291209,82218,28607,969,Merged
156,252126,82065,70207,2036,Rejected
157,289735,81937,28178,949,Merged
158,288225,81332,34579,393,Rejected
159,287743,81230,34551,391,Rejected
160,287565,81084,34513,380,Rejected
161,287459,80977,34510,377,Rejected
162,278910,79988,2633,770,Rejected
163,237725,78972,4825,412,Rejected
164,233467,77730,6256,517,Rejected
165,233470,77730,6256,517,Rejected
166,233246,77099,5797,483,Rejected
167,232609,77040,14146,18,Merged
168,268556,76369,43892,2292,Rejected
169,246696,76234,40100,1280,Rejected
170,274541,75678,33830,28,Merged
171,271740,75414,33804,18,Merged
172,233129,75315,4545,448,Merged
173,233127,74205,4892,472,Rejected
174,244629,74144,75666,312,Merged
175,244578,73669,75653,310,Rejected
176,230882,73500,0,109,Merged
177,243526,73326,0,73,Merged
178,241647,72945,0,103,Rejected
179,234520,72846,14,251,Rejected
180,251420,72751,11632,559,Rejected
181,281296,71757,13100,273,Rejected
182,279006,70574,130,345,Merged
183,281657,70056,35721,1730,Merged
184,271903,69750,147656,1058,Rejected
185,283773,69478,9453,723,Rejected
186,249209,69245,10926,98,Merged
187,251134,69075,23093,100,Merged
188,249041,69009,52619,1002,Merged
189,249069,68950,10668,91,Rejected
190,289753,68486,97754,973,Merged
191,291928,68446,101198,970,Merged
192,236076,67761,32600,918,Rejected
193,236030,67271,32488,905,Rejected
194,278455,66605,34142,3000,Merged
195,284899,66407,3640,551,Rejected
196,236067,66405,32245,900,Rejected
197,283348,66061,26028,174,Rejected
198,234762,65909,541370,3000,Rejected
199,248836,65841,9825,2866,Merged
200,249324,64967,50543,2660,Rejected
201,243797,63808,1123,248,Merged
202,212912,62652,8157,534,Rejected
203,277457,62649,20563,1502,Merged
204,277103,62086,21528,1964,Rejected
205,246079,60951,51333,317,Merged
206,276476,60335,22665,2346,Rejected
207,246950,60291,9033,80,Rejected
208,287962,60052,20467,1321,Merged
209,240652,59999,1117,56,Merged
210,294103,59849,21264,137,Rejected
211,292630,59849,21264,137,Merged
212,232907,59688,0,9,Merged
213,286307,59418,27252,222,Rejected
214,282250,59030,15568,1008,Merged
215,271713,58497,28684,383,Merged
216,238726,58338,56957,28,Merged
217,250077,58236,36449,401,Merged
218,271511,58147,28579,382,Merged
219,247337,58005,43433,40,Merged
220,235457,57958,23,280,Merged
221,247465,57488,42889,97,Rejected
222,270932,57095,1108,370,Rejected
223,285923,56737,25972,136,Rejected
224,285672,56731,25972,135,Rejected
225,246984,55788,42034,92,Rejected
226,284935,55240,323,79,Merged
227,284786,55240,323,79,Merged
228,277830,53339,185438,895,Rejected
229,244690,53327,243685,1052,Rejected
230,287555,53174,0,363,Merged
231,245986,53107,42235,97,Rejected
232,230235,52861,2743,182,Merged
233,261948,51665,25284,22,Merged
234,247788,51409,42335,58,Merged
235,234919,51220,31754,78,Merged
236,280915,51071,45398,525,Rejected
237,247005,50639,43993,102,Rejected
238,281910,50636,24066,2034,Merged
239,247021,50497,42005,69,Merged
240,292962,50134,0,618,Merged
241,263613,50012,13324,618,Merged
242,244209,49539,53579,214,Rejected
243,236264,49298,536,77,Rejected
244,235649,48943,0,191,Merged
245,249618,48827,22956,1798,Merged
246,241286,48772,150381,2075,Merged
247,236143,48520,1471,437,Rejected
248,229078,48395,4,374,Merged
249,236136,48315,1437,436,Rejected
250,212833,48215,3074,181,Merged
251,229081,47920,0,654,Merged
252,245702,47775,107,27,Merged
253,236152,47133,7221,480,Merged
254,280733,46918,44250,432,Merged
255,253477,46664,9265,980,Rejected
256,282412,46052,22026,2218,Rejected
257,285110,46052,22026,2218,Rejected
258,282767,46052,22026,2218,Rejected
259,279889,46052,22026,2218,Rejected
260,281871,46052,22026,2218,Rejected
261,283606,46023,21740,115,Rejected
262,283392,46023,21740,115,Merged
263,246102,46015,38173,1069,Rejected
264,231729,45872,2,516,Merged
265,247771,45829,37938,1231,Merged
266,243050,45769,44915,58,Merged
267,278386,45654,21974,2214,Rejected
268,245232,45249,1,878,Merged
269,243574,45123,41125,36,Merged
270,277037,44606,36700,1412,Merged
271,289127,44543,2424,320,Rejected
272,233072,44344,4146,300,Merged
273,231990,44256,27,48,Merged
274,231695,44201,19,43,Merged
275,236580,44105,40234,80,Rejected
276,245944,44058,37360,965,Rejected
277,240981,43895,40750,35,Merged
278,247187,43669,23290,587,Rejected
279,236420,43554,7781,161,Rejected
280,281015,43454,5927,321,Rejected
281,241282,43147,154231,2114,Rejected
282,283207,43128,29912,649,Rejected
283,283006,43011,29912,647,Rejected
284,275877,42783,13141,2255,Rejected
285,287840,42371,31040,668,Rejected
286,229440,41741,2708,86,Rejected
287,282512,41680,29712,633,Rejected
288,259540,41077,18258,156,Merged
289,288647,40939,0,3,Rejected
290,286655,40674,13358,642,Merged
291,239833,40578,501,403,Rejected
292,231833,40340,0,13,Merged
293,240396,39912,38397,19,Rejected
294,235950,39783,137,79,Merged
295,245829,39678,12174,618,Rejected
296,277816,39598,15267,1060,Merged
297,288614,38502,1389,237,Merged
298,272973,38453,34713,324,Rejected
299,242629,38452,240199,770,Rejected
300,247983,38066,35494,293,Merged
301,247500,37835,37,20,Rejected
302,243059,37801,35372,34,Merged
303,235490,37623,23694,595,Rejected
304,244050,37611,36291,13,Rejected
305,248965,37376,10934,88,Merged
306,244235,37115,35924,37,Merged
307,244564,37075,36678,100,Rejected
308,236603,36875,34639,26,Merged
309,238518,36669,925,109,Merged
310,238361,36665,925,109,Merged
311,238469,36665,925,109,Merged
312,274135,36161,9239,434,Rejected
313,282070,36147,25999,568,Rejected
314,282371,35686,25974,556,Rejected
315,235662,35268,3639,22,Merged
316,237031,35266,3639,22,Merged
317,235485,35200,23354,558,Rejected
318,292814,35179,34863,55,Rejected
319,234499,35071,31647,47,Merged
320,245540,34980,4126,278,Merged
321,293866,34820,0,17,Merged
322,245831,34670,30134,28,Merged
323,211263,34465,4448,459,Merged
324,239465,34457,135,7,Merged
325,274391,34354,2,33,Merged
326,289451,34352,5473,250,Rejected
327,281384,34309,24387,500,Rejected
328,252070,34262,337461,2817,Merged
329,284390,34134,141021,616,Merged
330,278585,33746,13696,468,Merged
331,210197,33682,352819,338,Rejected
332,285742,33397,469970,1454,Merged
333,266649,33388,2270,56,Merged
334,286601,33302,39008,1304,Rejected
335,232860,33211,0,200,Rejected
336,232610,33070,1612,16,Merged
337,265776,33040,11773,542,Rejected
338,250689,33015,11794,1381,Rejected
339,291802,32938,49255,48,Merged
340,235497,32864,51524,80,Rejected
341,264655,32858,11737,531,Rejected
342,238713,32852,18357,41,Rejected
343,238137,32839,18349,40,Rejected
344,258288,32703,14408,277,Merged
345,281281,32675,16,11,Rejected
346,251066,32511,11686,1359,Rejected
347,250312,32489,11690,1360,Rejected
348,250946,32473,11686,1358,Rejected
349,247514,32371,248544,398,Rejected
350,244052,32326,31795,32,Rejected
351,280856,32045,24218,449,Rejected
352,253068,31875,116,194,Merged
353,258602,31451,37,109,Merged
354,245230,31396,30330,38,Merged
355,280776,31338,24087,418,Rejected
356,288326,31206,28385,537,Merged
357,250628,31131,17349,367,Rejected
358,253412,31095,255,118,Rejected
359,210204,30890,0,91,Merged
360,279999,30873,17879,955,Rejected
361,243373,30761,30202,30,Merged
362,281502,30633,108,29,Rejected
363,246445,30543,30908,28,Merged
364,233044,30129,5,4,Merged
365,233249,30122,1,8,Merged
366,244248,30096,1030,155,Merged
367,238402,30054,8518,64,Rejected
368,237432,30046,27520,23,Rejected
369,292230,29856,485,143,Rejected
370,260600,29806,3715,110,Rejected
371,273851,29637,17575,1956,Rejected
372,231035,29563,8939,72,Merged
373,286166,29458,83869,1208,Merged
374,242888,29408,21946,168,Rejected
375,271665,29297,55050,381,Merged
376,236582,29139,28603,18,Rejected
377,236310,29115,10119,46,Merged
378,244777,29027,481687,337,Rejected
379,273036,28932,17383,1938,Rejected
380,249993,28726,6904,142,Merged
381,238334,28623,27261,27,Merged
382,272335,28539,17266,1926,Rejected
383,248226,28495,19062,801,Rejected
384,246844,28495,19062,801,Rejected
385,275719,28495,19062,801,Rejected
386,238308,28413,28192,16,Merged
387,229729,28222,12924,1232,Rejected
388,260727,28145,9063,403,Rejected
389,248925,28136,954,320,Merged
