"pull_request_id","loc_additions","loc_deletions","num_files_changed","pr_src_state","pr_src_title","merged_status"
"257541","2003937","1961284","1113","closed","ext/hal/st: Update stm32cube packages for 1.14 zephyr release","Merged"
"255873","1293035","1267377","620","closed","Dev cube update for v1.13","Merged"
"263377","1099151","14558","1757","closed","dummy change","Rejected"
"214126","768062","544348","3000","closed","Bluetooth: Move GATT samples under lib","Rejected"
"214092","672703","474791","1829","closed","Cmake update branch","Rejected"
"214087","637688","472846","926","closed","merge arm branch into master","Merged"
"214012","637579","472794","916","closed","stm32cube packages update","Merged"
"256749","601024","4454","152","closed","Imxrt1060 enablement","Merged"
"214792","487180","1733","175","closed","merge arm branch into master","Merged"
"214586","486884","1619","168","closed","arch: boards: Add support for i.MX RT1052 SoC and development board","Merged"
"214237","456035","4","306","closed","merge arm branch into master","Merged"
"259118","441329","365051","1557","closed","Topic counters rebased on master","Rejected"
"258674","411914","396126","491","closed","ext: gecko: Update Silabs Gecko HAL to v5.6.1","Merged"
"214547","387624","7422","1478","closed","Cmake sync and fix dts","Rejected"
"259671","324286","4","194","closed","Add 96Boards WisTrio board support","Merged"
"261383","322937","10","160","closed","STM32MP1 Series support","Merged"
"263589","305024","159","119","closed","NXP: Add support for Kinetis KE1xF SoC series and TWR-KE18F development board","Merged"
"259026","304364","0","30","closed","Imxrt1064 enablement","Merged"
"259145","271778","0","55","closed","frdm_k22f support","Rejected"
"214246","257401","20","196","closed","Nucleo f030r8","Merged"
"213653","257384","20","196","closed","Nucleo f030r8","Rejected"
"254509","251525","418","329","closed","merge arm branch into master","Merged"
"254508","251387","284","321","closed","Merge arm branch into master","Rejected"
"254529","250983","208","294","closed","Argonkey bsp","Rejected"
"254078","247920","6","203","closed","Add initial support for STM32L0 HAL and STM32L072CZ SOC","Merged"
"209292","241600","0","260","closed","Add initial support for Silabs EFM32WG-STK3800 board","Merged"
"263150","239206","994","100","closed","LPCXpresso55S69 board","Merged"
"263936","231579","444","535","closed","cpu/sam0: add support for SAMD5x/SAME5x with Linux style device tree clock control","Rejected"
