pull_request_id,pr_src_title
213994,userspace: flesh out internal syscall interface
209667,STM32 hardware random number generator
262131,meta issue for reproducible builds (was: tests/determinism.sh)
209432,samples: restore cpp_synchronization test
269718,doc: releases: Release notes for v2.2 - initial (empty) draft
258523,drivers: watchdog: Add gpio based watchdog support
272648,doc: releases: Release notes for v2.3 - initial (empty) draft
272187,Add date shell commands
265958,Add LiteX I2C driver
260593,lib: cmsis_rtos_v2: Join and detach support
258136,Check incoming IPv6 multicast scope packets
265465, Bluetooth: controller: Settings for company_id and subversion_number.
254486,tests: kernel: Add stack usage scenario tests
263196,NVS basic tests
214974,WIP: Fuzz testing dns client
254476,driver: usart: Added support for interrupt driver USART on SAM E70.
260046,Kconfig: CMakeLists: Define building of board images
269941,samples: sensors: isl29035: add sample
254306,Add bit-banging based driver for WS2812B LED strip
262059,boards/x86: add ACRN UOS sample board configuration
258053,shell: shell_uart: add ring_buffers and interrupt support
272928,[Backport v1.14-branch] Support 2nd AF_PACKET socket bind() with multiple network interfaces
267606,Bluetooth: Mesh: Friend enc failure
265339,drivers: serial: uart_rtt: Virtual UARTs over RTT channels
267704,"board: arm: mec15modular_assy6885: Enable RTOS, PS2, PWM and ADC drivers"
259766,smp: shell: Add support for SMP in new shell.
214192,USB: add composite support for class drivers
215202,Add a very basic logger shell service
257751,Shell dummy backend
254471,Add negative tests to increase code coverage
213613,Bluetooth: controller: Add packet transmit time restrictions
254798,build: use git version and hash for boot banner
261910, boards: mimxrt1064_evk: Enable mcux elcdif driver and pins
263987,PTP clock user mode support
272254,bluetooth: controller: openisa/RV32M1:  radio Deep Sleep Mode (DSM) 
214878,drivers: sensor: Add plantower PMS7003 sensor driver
254222,samples: nffs: New NFFS sample
256342,doc: update 1.10 release with RTD theme
255077,Bluetooth: GATT: Add support to persistent CCC config
254956,kernel: Add k_thread_foreach profiling API
256431,i2s: expose i2s APIs to user mode
256326,doc: update 1.11 release with RTD theme
263164,stats: extended maximum number of items in the statistics map
266246,Add LiteX PWM driver
258749,script: test framework to validate the reproducible builds
261598,net: ping: Improve the output of the ping function
214615,Nffs example
209371,shell: Add shell_exec and shell tests
214518,Net app client TLS connection fixes
261242,tests: userspace: check stack buffer access
264222,posix: Add headers related to BSD Sockets API
256325,doc: update 1.12 release with RTD theme
270853,[TOPIC-GPIO]: Convert LMP90xxx ADC and GPIO drivers to new GPIO API
262664,fix two ARC issues and improve stack object checking
262614,Bluetooth: Shell: Various improvements to gatt commands
214176,Cmake help text
254377,Add ztest for kernel event logger.
268538,[Backport v1.14-branch] Misc TCP fixes to 1.14 branch
256292,802.1Qav on/off support
269740,Out of tree driver
272953,"drivers: pinmux: stm32f7: Add FMC pinmux entries to stm32F7, I2C_3/LT…"
213468,tests: kernel: Stress test for round robin scheduling.
272635,various fixups for atomic operation APIs
256250,tests: obj_tracing: Add obj_tracing tests for kernel objects
272923,Support 2nd AF_PACKET socket bind() with multiple network interfaces
262929,[WIP] boards: arm: nrf52840_pca10090: add GPIO reset line
213953,build: Add rules in Makefile.gen to generate a hex file
214476,A sample application to demonstrate use of kernel event logger feature.
265814,[TOPIC: DTS] dts: edtlib: Support giving missing properties a default value
264184,drivers: usart for LPC devices interrupt enabled
256349,tests:net:lib:coap: Added new changes to improve code coverage
268032,drivers: sensor: Add SI7060 temperature sensor driver
267135,Add DFRobot CAN bus Arduino UNO R3 shield
266798,Samples: Add SMP Pi
214103,gen_kobject_list.py: device driver support
255282,Sched fixes
270842,STM32: Enable CAN_2 interface on the stm32f4 SoC series
209459,doc: starting draft for 1.8 release notes
262191,[WIP] Introduce Video 4 Zephyr API
270484,Bluetooth: smp: Added Legacy only pairing and Legacy OOB pairing support
214793,[RFC][DNM] Parse board yaml file and get some meta-data
213680,Misc net fixes
266402, doc: releases: Document board and driver changes in 2.0 release note
261883,linker: sort app shared mem partition by alignment
215172,boards: arm: Adds Sparkfun nRF52832 breakout board support
254865,Caching toolchain capabilities
214097,IPv4 multicast fixes
209456,doc: starting draft for 1.8 release notes
267789,scripts: add script for listing closed bugs
256815,drivers: console: semihosting: Add
214660,doc: usermode: iterative refinements
263450,drivers: pinmux: stm32f7: Add LTDC pinmux entries to STM32F7
267847,[TOPIC-GPIO]  gpio: Update rv32m1 gpio driver to use new gpio api
268361,drivers: entropy: Add SAM0 entropy driver
260711, net: sockets: Implement getnameinfo() 
214289, Bluetooth: btp: Add GATT Get Attribute command and implementation
270212,doc: reference: add discussion of terms that define API behavior
209217,Bluetooth: Auto-update LE data length to max. supported
209620,boards: sensortag: Add documentation.
269481,arch: arc: implement mpu gap filling
256448,Features/net pkt append memset
260924,"Wifi eswifi, TCP offload listen/accept support"
266727,dts: edtlib: Support giving missing properties a default value
256535,Add leds_gpio driver and modify blinky application
273937,clarify system call verification data copying policies
257805,shell: Add Segger RTT backend
254074,DFU subsystem updates
264837,samples: created a new sample for bbc_microbit Line follower robot
260191,samples: subsys: Add filesystem API sample which uses SDHC
255160,drivers: codec: APIs for Audio Codecs
255964,Add support for I2C on STM32F7 family and on STM32F723E-DISCO board
263843,logging: Add option to automatically duplicate transient strings
269061,boards: shields: add TI BOOSTXL-ULPSENSE
209862,doc: net: Add information about net-app API
256971,cmake: Eclipse CDT4 generator amendment
263874,logging: Add option to detect missed transient string duplication
270789,Bluetooth: Host: Add generic pairing query callback
259943,Add STM32 L452 with XC soc variant
257811,doc: shell: rtt: Add documentation for RTT shell backend
257961,drivers: entropy: add Atmel SAM entropy generator driver
263101,"net: sntp: Add ""simple"" one-shot API to query SNTP server"
255900,"Add CONFIG_SCHED_MULTIQ to enable the ""traditional"" scheduler algorithm"
209137,Timer: Add TICKLESS_KERNEL support for nrf_rtc_timer.
257919,Handle IPv4 broadcast addresses
256261,tests: net: TLS credentials subsystem tests
209813,x86: MMU: Validate user Buffer
268451,Adds a DediProg flash runner for board mec15xxevb_assy6853
