pull_request_id,pr_src_title
257541,ext/hal/st: Update stm32cube packages for 1.14 zephyr release
255873,Dev cube update for v1.13
263377,dummy change
214126,Bluetooth: Move GATT samples under lib
214092,Cmake update branch
214087,merge arm branch into master
214012,stm32cube packages update
256749,Imxrt1060 enablement
214792,merge arm branch into master
214586,arch: boards: Add support for i.MX RT1052 SoC and development board
214237,merge arm branch into master
259118,Topic counters rebased on master
258674,ext: gecko: Update Silabs Gecko HAL to v5.6.1
214547,Cmake sync and fix dts
259671,Add 96Boards WisTrio board support
261383,STM32MP1 Series support
263589,NXP: Add support for Kinetis KE1xF SoC series and TWR-KE18F development board
259026,Imxrt1064 enablement
259145,frdm_k22f support
214246,Nucleo f030r8
213653,Nucleo f030r8
254509,merge arm branch into master
254508,Merge arm branch into master
254529,Argonkey bsp
254078,Add initial support for STM32L0 HAL and STM32L072CZ SOC
209292,Add initial support for Silabs EFM32WG-STK3800 board
263150,LPCXpresso55S69 board
263936,cpu/sam0: add support for SAMD5x/SAME5x with Linux style device tree clock control
209846,arch: arm: support for KW2xD SiP and USB-KW24D512
259633,Imxrt1020 enablement
260452,Add stm32g0 support
261423,stm32wb: Add BLE support through IPM HCI driver
255733,RFC: Add psoc6
255103,porting stm32f2
261349, STM32WB Series support
259551, ext: mcux: Update to MCUXpresso SDK 2.5.0
262226,Enable imxrt1015
262809,Add support for TI CC13x2 and CC26x2 SoCs
261703,[RFC] ST sensor drivers migration to STdC
254664,ext: hal: nordic: Update nrfx to version 1.0.0
259147,RV32M1 SoC and VEGAboard support
261379,ext: hal: nordic: Update nrfx to version 1.6.2
214173,ext: simplelink: Update SDK to version 1.50.00.06
213439,Add support for MSP-EXP432P401R-LAUNCHXL
253957,merge arm branch into master
214823,Add support for LPCXpresso54114
213651,Zephyr lpc final v1.2
262740,"samples: mesh: single timer to handle all transitions,  upgrade the implementation of Generic Move Message handlers & bugs fix"
257828,EFR32MG12P SoC support
260653,Add support for SAM E70 revision B
209233,add additional hardware support for Hexiwear K64 module
209274,Merge arm branch into master
209208,Add support for STM32F7 family & STM32F723E Discovery board 
209226,MPU Flash write
209147,Add support for STM32L496AG and STM32L496G Discovery board
258280,Rabase topic-counters on master
215026,arch/arm/soc/nxp_imx: added support to imx7d m4 core
254371,arch: Add support to imx7d m4 core and colibri_imx7d_m4 board
209513,ieee802154: update KW41Z driver to also support KW40Z
259361, ext: hal: nordic: Update nrfx to version 1.5.0
263062,Add vl53l1x support
259866,Rebase jan 2019
256136,boards: arm: Add support for Silabs EFM32HG-SLSTK3400A
273164,release: update sanitycheck footprint file
254176,board: arm: add initial support for Silabs Happy Gecko EFM32HG
254880,boards: Add support for the iMX6SX Udoo Neo board
253889,ext: nordic: Import nrfx 0.8.0
254833,Add initial support for Silicon Labs EFM32PG-STK3402A board
258223,Add initial support for Silicon Labs EFM32PG-STK3402A board
209431,cc3220sf host driver
209790,Cc3220sf host driver
260601,Mec2016evb port
214631,boards: add support for the Arduino Zero and the SAMD21 series
269690,release: update sanitycheck release file
263959,doc/zio: Documentation for zio
257728,ext/hal: Cube update STM32L4 and F7 fixup
264162,doc/zio: Documentation for zio
253850,Add support for SAMD20 Xplained Pro Board
269719,release: fix sanitycheck release file
263633, provide support for the ST S2LP 802.15.4 Radio
209103,ext: mcux: update to MCUX 2.2 for KW41Z
254693, boards: arm: Add basic support for Silabs EFR32 SLWSTK6061A board 
253937,[RFC][DNM] Porting LoRaMAC-node project  to zephyr
266933,release: update sanitycheck release file
215056,Initial support for microchip cec1702
261036,soc/samr21: Initial support
213435,Add support for MSP-EXP432P401R-LAUNCHXL
264140,include/ restructring and header cleanup
255692,[DNM] [RFC] drivers: counter: API proposal unifying counter and rtc drivers.
255076,openamp sample integration/app
254911, ext: mcux: Reorganize imported drivers into soc family subfolders
254576,ext: mcux: Add import script and import latest version
255075,Openamp import
214580,WINC1500 WiFi module support
209135,ext: Import Atmel SAM4S header files from ASF library
260151,ext: hal: atmel: sam: update to version 2.3.98
261364,SimpleLink SDK 2.40 update
262951,release: update footprint data
209081,net: add winc1500 driver from Atmel
259898,ext: hal: nordic: Update ieee802154 radio driver to version 1.2.3
213817,fs: Port of NFFS (Newtron Flash File System)
254526,[WIP] IEEE 802.1AS gPTP support
259731,Bluetooth: controller: Introduce ULL LLL architecture
256818,sanitycheck: update release data
214566,Migrate from KBuild to CMake
255880,Imxrt1050 add a1 silicon support
270978,DNM: topic-gpio next plus deprecation patch set testing
214626,"Cmake final history rewrite [branch cleanup, not for review]"
256305,Imxrt1050 add a1 silicon support
270925,DNM: topic-gpio integration branch testing
272125,Final merge of topic-gpio branch
272048,DNM: topic-gpio rebase build test 20200202
270995,DNM: topic-gpio rebase build test 20200129
270946,DNM: topic-gpio rebase build test 20200128
209851,Bluetooth: Mesh: Add initial implementation
209831,Bluetooth: Mesh: Add initial implementation
254100,cmsis: Update ARM CMSIS headers to version 5.2.0
270840,[DNM] rebased topic-gpio build test 20200125
258613,gpio: add driver for MCP23S17 GPIO chip
270781,[topic-gpio] samples: drivers: espi: Migrate to new gpio API
214485,Add Altera HAL support for Altera NIOSII MAX 10 devices
270779,samples: drivers: espi: Migrate to new GPIO API and use device tree definitions
255659,release: update footprint data
253962,drivers: pinctrl device interface (Linux-like) and STM32F0 driver
215027,arch: nios2: update nios2 softcpu image
270529,[DNM] topic-gpio rebase on master - build test
270323,[TOPIC-GPIO] drivers: gpio_cc2650: Removal due to deprecated platform
254498,release: update sanitycheck footprint data
263587,nxp: move HAL to external repo
209457,Release notes 1.8
257711,Porting Zephyr to Unisoc uwp5661 chip.
255731,ext: hal: nordic: Update nrfx to version 1.1.0
253900,ext: STM32Cube update F4/L4
256683,Added I2C_1 and CAN_1 master for the Nucleo L476RG board.
269978,tests: boards: remove intel_s1000_crb tests
209830,add vl53l0x time of flight sensor
262437,soc: nordic_nrf: - MPU temperature sensor default
209390,ZEP-2171: Move all board pinmux code from drivers/pinmux/stm32 to boards/arm/...
214388,Cmake sync upstream
214404,Cmake migration squash history
209207,Add support for STM32F723E Discovery
214546,Cmake sync and fix dts
273312,Sc range changed not reset
214055,RFC: Arch: Basic MIPS port.
256781,update mbedTLS to 2.12
254219,[DNM][RFC] RPMsg-Lite and OpenAMP side-by-side
254166,mcumgr external library + zephyr support code
215023,release: update sanitycheck footprint data
215000,release: sanitycheck: update footprint data
213792,DO NOT MERGE: LwM2M holding PR for 1.10
263582,ext: st: move ST HAL to its own repo
213901,Introduce new config scheme
270279,Add EDTT tests (BLE controller conformance)
262631,Microchip MEC1501 / mec15xxevb_assy6853 board support
254085,Introduce OpenAMP/RPMsg-Lite on LPC54114
264547,ext: hal: st: move to modules
254140,crypto: mbedtls: Update mbedTLS to 2.7.0
214094,Cmake update branch
262620,Development
262591,Development
213657,DO NOT MERGE: Port zephyr from Make+Kconfig (KBuild) to CMake+Kconfig
262744,License cleanup
264124,ext: hal: cmsis: Update ARM CMSIS headers to version 5.5.1
264735,test ignore
254755,[RFC][DNM]Bluetooth: controller: Refined architecture
213535,[WIP] RPL border router sample application
253901,VLAN support
262553,Introduce a new WiFi manager
209718,Introduce LWM2M subsystem for Zephyr
273459,ztest: rename zassert_ APIs
213774,Zoap multi fragment support
214332,boards: arm: Disable UART Hardware flow control as default for VBLUno51
255849,Initial gPTP 802.1AS-2011 support
256590,C++: fix C++ file includes I2c.h
213917,release: update footprint data
262758,tests: crypto: Update HMAC_PRNG test
262603,ext: hal: nordic: Update nrfx to version 1.7.1
267911,VEGABoard BLE SW LL
254424,[WIP] Network application for automatic testing
268654,kconfig: Make header comments consistent globally
256420,subsys: shell rework
256453,Dlist fix code
258334, scripts: dts: Use DT_ prefix in generated labels
213976,cmake: more samples/subsystems ported
256170,Character framebuffer for monochrome dot matrix displays
273024,new devicetree.h API
259413,ext: lib: crypto: Update mbedTLS 2.14.1
269909,Adsp i2s test
257097,Coap library support over sockets
258174,Add zffs
254048,Add tinyCBOR external library and apply mynewt upstream patch from intel/tinycbor#83
269907,Adsp dma test
265490,dts: Add new DTS/binding parser
261916,doc: update stm32_min_dev documentation about alternate default LED pin
254126,"Revert ""net: http: Remove the old legacy API"""
263771,Initial PPP implementation
258553,Openamp v2018.10
255394,ext: lib: crypto: Update mbedTLS to 2.9.0
254903,[WIP] Porting Zephyr to Unisoc uwp5661 chip.
273615,[WIP] Convert all DT_INST_ to new DT_INST macros
273613,[WIP] DTS: Example to show conversion to new DT_INST macro's
214220,libraries for support mcuboot serial FWU
257134,ext: hal: nordic: Update nrfx to version 1.3.0
