"","pull_request_id","loc_additions","loc_deletions","num_files_changed","merged_status"
"1",213994,269,27,6,"Merged"
"2",209667,269,6,7,"Merged"
"3",262131,269,0,1,"Rejected"
"4",209432,268,1,7,"Merged"
"5",269718,266,0,1,"Merged"
"6",258523,266,0,5,"Rejected"
"7",272648,265,0,1,"Merged"
"8",272187,263,1,6,"Merged"
"9",265958,263,1,9,"Merged"
"10",260593,262,10,6,"Merged"
"11",258136,262,6,4,"Merged"
"12",265465,262,8,11,"Merged"
"13",254486,261,0,4,"Merged"
"14",263196,261,2,6,"Merged"
"15",214974,260,0,5,"Rejected"
"16",254476,259,5,3,"Merged"
"17",260046,259,1,3,"Merged"
"18",269941,259,0,6,"Merged"
"19",254306,258,9,9,"Merged"
"20",262059,258,0,6,"Merged"
"21",258053,257,37,4,"Merged"
"22",272928,256,5,6,"Merged"
"23",267606,255,25,7,"Merged"
"24",265339,255,0,5,"Merged"
"25",267704,255,10,8,"Merged"
"26",259766,254,20,7,"Merged"
"27",214192,254,5,7,"Merged"
"28",215202,253,5,11,"Rejected"
"29",257751,253,4,9,"Merged"
"30",254471,252,8,8,"Merged"
"31",213613,252,29,4,"Merged"
"32",254798,252,13,5,"Merged"
"33",261910,252,31,10,"Merged"
"34",263987,252,7,10,"Merged"
"35",272254,252,9,4,"Merged"
"36",214878,251,0,6,"Merged"
"37",254222,251,0,5,"Rejected"
"38",256342,250,17,9,"Merged"
"39",255077,250,0,3,"Merged"
"40",254956,250,46,9,"Merged"
"41",256431,250,3,5,"Merged"
"42",256326,249,16,9,"Merged"
"43",263164,249,13,4,"Merged"
"44",266246,248,0,9,"Merged"
"45",258749,247,0,4,"Rejected"
"46",261598,247,47,7,"Merged"
"47",214615,247,0,6,"Rejected"
"48",209371,246,49,8,"Merged"
"49",214518,246,50,3,"Merged"
"50",261242,245,1,3,"Rejected"
"51",264222,245,0,7,"Merged"
"52",256325,244,16,9,"Merged"
"53",270853,244,14,4,"Merged"
"54",262664,243,3,6,"Merged"
"55",262614,243,36,7,"Merged"
"56",214176,243,2,8,"Merged"
"57",254377,243,1,5,"Rejected"
"58",268538,242,28,6,"Merged"
"59",256292,242,6,6,"Merged"
"60",269740,242,8,11,"Merged"
"61",272953,242,0,4,"Rejected"
"62",213468,241,2,6,"Merged"
"63",272635,241,15,6,"Merged"
"64",256250,240,3,3,"Merged"
"65",272923,240,1,6,"Merged"
"66",262929,240,33,3,"Rejected"
"67",213953,239,0,8,"Merged"
"68",214476,239,3,8,"Merged"
"69",265814,238,41,5,"Rejected"
"70",264184,236,5,6,"Merged"
"71",256349,236,17,1,"Rejected"
"72",268032,236,0,9,"Merged"
"73",267135,236,7,9,"Merged"
"74",266798,235,0,7,"Merged"
"75",214103,235,30,4,"Merged"
