,pull_request_id,loc_additions,loc_deletions,num_files_changed,merged_status
1,257541,2003937,1961284,1113,Merged
2,255873,1293035,1267377,620,Merged
3,263377,1099151,14558,1757,Rejected
4,214126,768062,544348,3000,Rejected
5,214092,672703,474791,1829,Rejected
6,214087,637688,472846,926,Merged
7,214012,637579,472794,916,Merged
8,256749,601024,4454,152,Merged
9,214792,487180,1733,175,Merged
10,214586,486884,1619,168,Merged
11,214237,456035,4,306,Merged
12,259118,441329,365051,1557,Rejected
13,258674,411914,396126,491,Merged
14,214547,387624,7422,1478,Rejected
15,259671,324286,4,194,Merged
16,261383,322937,10,160,Merged
17,263589,305024,159,119,Merged
18,259026,304364,0,30,Merged
19,259145,271778,0,55,Rejected
20,214246,257401,20,196,Merged
21,213653,257384,20,196,Rejected
22,254509,251525,418,329,Merged
23,254508,251387,284,321,Rejected
24,254529,250983,208,294,Rejected
25,254078,247920,6,203,Merged
26,209292,241600,0,260,Merged
27,263150,239206,994,100,Merged
28,263936,231579,444,535,Rejected
29,209846,214030,2,37,Merged
30,259633,212367,2,25,Merged
31,260452,211769,51,193,Rejected
32,261423,204409,50,233,Rejected
33,255733,202391,0,302,Merged
34,255103,200220,10,190,Merged
35,261349,199357,21,195,Merged
36,259551,178959,62225,303,Merged
37,262226,172643,3342,125,Merged
38,262809,162821,2,260,Merged
39,261703,153736,284,100,Rejected
40,254664,153165,3882,143,Merged
41,259147,119532,126,169,Merged
42,261379,114768,47707,152,Merged
43,214173,106680,400,218,Merged
44,213439,103103,1,119,Merged
45,253957,99410,3,117,Merged
46,214823,99410,3,117,Merged
47,213651,99362,3,118,Rejected
48,262740,87892,2560,482,Rejected
49,257828,81248,10,95,Merged
50,260653,73836,8,121,Merged
51,209233,69591,12120,383,Rejected
52,209274,68781,12303,363,Merged
53,209208,67137,10206,273,Rejected
54,209226,65609,10198,242,Rejected
55,209147,65035,10080,220,Merged
56,258280,61279,13830,1166,Rejected
57,215026,59197,0,64,Rejected
58,254371,57940,0,67,Merged
59,209513,53328,24,24,Merged
60,259361,53117,709,67,Merged
61,263062,50799,4,62,Rejected
62,259866,47121,3,92,Rejected
63,256136,47121,3,92,Merged
64,273164,47097,41750,1,Merged
65,254176,46249,0,67,Rejected
66,254880,46156,5,38,Merged
67,253889,45426,2408,151,Merged
68,254833,44155,6,85,Rejected
69,258223,43926,14,82,Merged
70,209431,43541,207,160,Rejected
71,209790,42233,10,84,Merged
72,260601,42219,1,31,Merged
73,214631,42151,1,129,Merged
74,269690,41834,31947,1,Merged
75,263959,39310,738416,1761,Rejected
76,257728,38885,9072,154,Merged
77,264162,36092,737707,1718,Rejected
78,253850,35582,168,107,Merged
79,269719,35303,35290,2,Merged
80,263633,34594,0,88,Rejected
81,209103,33971,20273,70,Merged
82,254693,32738,7,92,Merged
83,253937,31954,0,50,Rejected
84,266933,31934,23367,1,Merged
85,215056,31661,0,27,Rejected
86,261036,29683,211,103,Merged
87,213435,28385,0,57,Rejected
88,264140,27366,19237,1440,Merged
89,255692,26577,8555,830,Merged
90,255076,25308,0,262,Merged
91,254911,25000,1750,301,Merged
92,254576,24916,8027,288,Rejected
93,255075,24580,0,247,Rejected
94,214580,24573,1,63,Merged
95,209135,24472,0,93,Merged
