"pull_request_id","loc_additions","loc_deletions","num_files_changed","pr_src_state","pr_src_title","merged_status"
"226224","485695","0","3000","closed","Added a map to Picker API to consolidate Pickers of all localities","Rejected"
"216751","432351","6097","3000","closed","Update debian/sid with changes from release 0_11","Merged"
"219264","395903","1","2104","closed","grpc-thrift compat","Rejected"
"216375","392227","36","2614","closed","Initial Doxygen import for core, c++","Merged"
"216804","281244","55831","2940","closed","Update debian/backports with current debian/sid","Merged"
"227916","277435","6469","180","closed","Use boringssl non-developer cmake build.","Rejected"
"217541","214411","79566","2642","closed","Update debian/sid to relase-0_12_0","Merged"
"219510","203509","142821","3000","closed","Update debian/sid branch for v1.0.0","Merged"
"223231","183029","133410","1162","closed","Use indent as the auto-formatter","Rejected"
"216229","173786","0","3000","closed","Initial C/C++ reference documentation","Rejected"
"216595","160843","23167","1436","closed","Endpoints refactoring redux","Rejected"
"216616","152731","19985","1412","closed","Cleaning up our build process for windows a little","Merged"
"223185","143289","20806","94","closed","Update Node API docs to v1.8.4","Merged"
"217378","118723","32369","1629","closed","Re-cutting the 0.12 release from master.","Merged"
"220649","115154","60833","3000","closed","Change ssl_server_fuzzer.c to allow running on oss-fuzz","Rejected"
"215315","105991","4751","820","closed","Switches sample app to remote specs","Rejected"
"216380","97187","2","804","closed","Pushing the generated documentation on gh-pages.","Merged"
"222388","94336","2321","707","closed","Partial revert of vsprojects removal","Rejected"
"218386","87397","80048","3000","closed","Throw exception if not lower case Metadata.Entry.Key.","Rejected"
"228568","87150","23767","1843","closed","Update C++ documentation for 1.28.0","Merged"
"216667","79916","39267","2677","closed","Daily Release 0.11 upport to master","Merged"
"216717","79562","39255","2677","closed","Update debian install instructions","Rejected"
"218949","66597","403929","3000","closed","Use correct 'buffer_size_bytes' variable name","Rejected"
"217568","62952","221457","2095","closed","Backport BoringSSL + Python gRPC packaging to 0.12","Rejected"
"223545","61756","88684","1614","closed","Update C++ and Core documentation to 1.10.0","Merged"
"217428","61343","224423","2038","closed","Merge core end2end tests by fixture","Rejected"
"216701","60719","28138","1915","closed","Regenerated doxygen after #3227","Merged"
"217402","60109","223173","2040","closed","BoringSSL integration","Merged"
"216684","56708","40203","496","closed","Switch to indent-based formatting","Rejected"
"216697","56385","26804","1900","closed","Update documentation","Rejected"
"222214","54651","22086","982","closed","Updated docs to 1.6.0","Merged"
"220570","54217","79374","2777","closed","Make cmake search for preinstalled protobuf packages in package mode and use officially documented variable names for getting library names","Rejected"
"222155","47025","18814","1377","closed","Update C# API reference","Merged"
"219427","46768","24138","1009","closed","Updating C++ and core documentation to 1.0.","Merged"
"221617","46394","69706","2678","closed","Change bound port to get Node distrib tests to work again","Rejected"
"216275","45835","0","128","closed","Auto-update Python documentation","Merged"
"218327","45780","371","10","closed","Fix a memory leak caused by the obvious way of using server APIs","Rejected"
"226644","44738","0","236","closed","Run gRPC C++ tests on iOS","Rejected"
"227689","42546","0","449","closed","Add Objective-C API refernce","Merged"
"224110","41542","35903","114","closed","Add C# docs for 1.12","Merged"
"227275","41037","0","124","closed","Add generated API docs for grpc-dotnet","Merged"
"221581","39895","65350","2630","closed","Changing license to Apache v2","Merged"
"218109","38988","16838","646","closed","Update gh-pages to 0.13","Merged"
"227501","37040","5","121","closed","Use subtree on upb instead of submodule","Merged"
"227540","37040","5","121","closed","Backport ""Use subtree on upb instead of submodule #20662""","Merged"
"220678","36998","61372","2463","closed","Changing license to Apache v2.","Rejected"
"223010","36844","22703","1140","closed","Update docs for Python and C/C++ to 1.8.0","Merged"
"227432","34863","20741","801","closed","Update PHPUnit4.8 to PHPUnit5.7 and README","Rejected"
"216169","34651","9635","451","closed","Updating debian/sid with the 0.10.0 release.","Merged"
"218485","33242","20599","573","closed","Add support for establishing client channel using existing FD","Rejected"
"215940","33194","9373","530","closed","Bring the debian/sid branch up to date with upstream master","Merged"
"223651","31628","18556","603","closed","add ALTS kokoro tests","Rejected"
"219564","30928","5415","619","closed","Add docstrings in Beta elements in python_generator.cc","Rejected"
"219356","29753","17033","126","closed","[C-API] server","Rejected"
"215847","26767","5874","406","closed","Improvements to Debian packaging targeting unstable","Rejected"
"221279","25648","7365","837","closed","Doc updates 1.3.0","Merged"
"217748","24871","7340","610","closed","Fix Metadata.cs for coreclr","Rejected"
"219699","24839","3054","264","closed","Upmerge from 1.0.x","Merged"
"222723","24469","20065","844","closed","Update clang-format to 5.0","Merged"
"212204","24086","3271","216","closed","Docker","Rejected"
"227721","23819","696","23","closed","Change channelz code to use nlohmann::json library.","Rejected"
"226561","23667","9630","1339","closed","c++ doc update","Merged"
"216507","23552","0","45","closed","Added node documentation","Merged"
"223586","23084","597","122","closed","Add ALTS code to grpc/core","Merged"
"223585","23084","597","122","closed","Add ALTS code to grpc/core","Rejected"
"223427","23040","597","122","closed","Add ALTS C stack to gRPC core","Merged"
"223584","23040","597","122","closed","Revert ""Revert ""Add ALTS C stack to gRPC core""""","Rejected"
"219435","23023","3695","399","closed","Use signature instead getargspec","Rejected"
"223576","22981","641","130","closed","test MSAN","Rejected"
"219668","22957","5","208","closed","Nanopb code drop","Merged"
"218378","22863","17605","750","closed","Core API fuzzer","Merged"
"225614","22307","4850","1223","closed","New docs for v1.18.0","Merged"
"216936","22111","2060","152","closed","μChannels implementation.","Merged"
"221159","21865","6779","62","closed","Retry support","Merged"
"228178","21678","89699","40","closed","Autogenerate build.yaml equivalent from bazel BUILD metadata (with bazel query xml)","Merged"
"217327","21346","6847","156","closed","Expand census coverage: make this a fixture instead of a simple test","Merged"
"220917","20726","3228","340","closed","Merge from v1.2.x to master","Rejected"
"215453","20642","2803","14","closed","Fixes build problem in the ObjC sample client and adds local tests","Merged"
"221710","20266","12145","45","closed","Update Node API docs to 1.4","Merged"
"216661","20135","1152","182","closed","Add back examples to release-0_10 branch","Merged"
"216606","20132","772","179","closed","Move grpc common examples here","Merged"
"217098","19901","10135","515","closed","update core and c++ doc to 0_11","Merged"
"219631","18864","962","166","closed","Add a libuv endpoint to the C core, for use in the Node library","Merged"
"219910","18580","3940","431","closed","Add resource quota configuration to API fuzzer","Merged"
"228157","18363","233436","52","closed","Experiment: getting rid of build.yaml","Rejected"
"218290","17967","3","19","closed","Adding memory leak detections for the json fuzzer.","Merged"
"218293","17734","1","10","closed","Run fuzzer corpus entries as unit tests","Rejected"
"217103","17021","5359","183","closed","Core transport & call cleanup","Merged"
"217124","17005","5361","184","closed","Hpack crash fix","Rejected"
"220979","16645","1","4","closed","Fix oss-fuzz/961","Merged"
"217220","16448","3058","363","closed","Fix dependency violations","Merged"
"221083","16371","8706","511","closed","RFC: Auto conversion of .c to .cc files","Rejected"
"224835","16336","4820","1176","closed","Regenerate docs (C/C++) for v1.15.0","Merged"
"223828","16183","16104","6","closed","move generated CMake targets to /cmake/generated/generated.cmake","Rejected"
"228444","15522","9052","168","closed","Backport #22104 to 1.28","Rejected"
"227639","15185","407076","3000","closed","Debian/dev","Rejected"
"216853","15171","407076","3000","closed","Update debian/backports with changes from release 0_11_1","Rejected"
"216761","15147","407076","3000","closed","Debian sid remove docs","Rejected"
"216664","15092","7262","609","closed","Refactor Endpoint API","Merged"
"224639","15056","1063","38","closed","Update Node docs to version 1.14.0","Merged"
"227924","15042","17683","1353","closed","Update C++ documentation for v1.26.0.","Merged"
"216762","15000","407181","3000","closed","Removes reference docs","Merged"
"217938","14694","5091","436","closed","Backport merge.","Merged"
"222960","14674","10022","444","closed","Revert ""All instances of exec_ctx being passed around in src/core removed""","Merged"
"218636","14327","13234","126","closed","Pyformat Python code","Rejected"
"212171","14147","2519","62","closed","New Core API","Merged"
"220900","14095","1629","1024","closed","Update generated C# docs to 1.2.0","Merged"
"216613","13699","0","82","closed","Auto-generated phpdoc","Merged"
"220302","13608","12303","143","closed","Enable yapf (Python formatting)","Merged"
"227272","13503","11400","19","closed","Update boringssl and boringssl-with-bazel","Rejected"
"218682","13498","940","570","closed","Fix some fuzzing bugs, expand corpora","Merged"
"211960","13387","12656","187","closed","clang-format codebase","Merged"
