"","pull_request_id","loc_additions","loc_deletions","num_files_changed","merged_status"
"1",223624,436,8,18,"Merged"
"2",223720,436,8,18,"Merged"
"3",212404,434,26,14,"Merged"
"4",215683,434,65,12,"Merged"
"5",219204,434,55,12,"Merged"
"6",225125,434,70,10,"Merged"
"7",225955,432,86,2,"Merged"
"8",226757,430,59,7,"Merged"
"9",216905,429,0,8,"Merged"
"10",212193,429,59,13,"Merged"
"11",212246,428,3,7,"Merged"
"12",228081,427,3,14,"Rejected"
"13",228068,427,3,14,"Rejected"
"14",227961,427,7,3,"Rejected"
"15",217261,426,3,9,"Merged"
"16",219716,425,61,15,"Merged"
"17",227018,425,9,9,"Merged"
"18",223214,421,75,10,"Rejected"
"19",217692,421,35,16,"Merged"
"20",220451,421,0,16,"Merged"
"21",222303,419,70,7,"Merged"
"22",216207,419,48,12,"Merged"
"23",218843,418,1,6,"Merged"
"24",225677,416,10,7,"Merged"
"25",217335,415,0,8,"Merged"
"26",226631,413,0,6,"Merged"
"27",225826,412,86,2,"Merged"
"28",218257,412,0,5,"Merged"
"29",221983,411,79,13,"Merged"
"30",217295,410,1,9,"Merged"
"31",223620,409,28,7,"Merged"
"32",224084,409,9,8,"Rejected"
"33",215668,409,10,5,"Merged"
"34",226106,408,0,7,"Merged"
"35",225829,408,8,7,"Merged"
"36",226776,407,48,15,"Merged"
"37",226701,406,79,1,"Merged"
"38",219763,406,0,1,"Merged"
"39",219086,405,32,6,"Merged"
"40",217329,404,76,10,"Merged"
"41",225996,404,57,4,"Merged"
"42",219265,403,0,5,"Merged"
"43",219732,403,7,5,"Merged"
"44",217304,402,3,9,"Merged"
"45",215211,401,21,13,"Merged"
"46",218392,400,16,5,"Merged"
"47",215276,399,2,6,"Merged"
"48",218435,398,53,9,"Rejected"
"49",216476,397,0,3,"Merged"
"50",222235,397,0,4,"Merged"
"51",225319,395,2,8,"Merged"
"52",216624,394,23,8,"Rejected"
"53",220281,393,0,1,"Merged"
"54",217285,393,2,8,"Merged"
"55",225431,391,0,5,"Merged"
"56",225449,391,0,5,"Merged"
"57",216340,391,41,14,"Merged"
"58",223425,390,0,7,"Merged"
"59",224458,390,18,9,"Rejected"
"60",215533,390,19,3,"Merged"
"61",228445,387,1,6,"Merged"
"62",218412,387,8,9,"Merged"
"63",227538,387,93,7,"Merged"
"64",222123,387,78,13,"Merged"
"65",228265,387,1,6,"Merged"
"66",225958,387,8,7,"Merged"
"67",220282,386,0,1,"Rejected"
"68",218883,386,9,5,"Rejected"
"69",221079,385,0,11,"Rejected"
"70",217355,384,2,3,"Rejected"
"71",225402,383,0,4,"Merged"
"72",223998,382,5,11,"Merged"
"73",220684,381,0,6,"Rejected"
"74",221106,381,5,12,"Merged"
"75",216530,380,5,9,"Merged"
"76",221227,379,36,17,"Rejected"
"77",216728,379,24,12,"Merged"
"78",222868,378,55,11,"Rejected"
"79",224286,378,0,4,"Merged"
"80",218764,378,7,2,"Merged"
"81",215569,378,8,5,"Merged"
"82",220608,377,77,14,"Merged"
"83",228098,376,61,9,"Merged"
"84",226717,374,0,5,"Merged"
"85",217101,374,56,7,"Merged"
"86",226185,374,0,1,"Merged"
"87",225430,374,0,5,"Merged"
"88",221040,374,4,9,"Merged"
"89",216063,373,37,12,"Rejected"
"90",219478,373,73,10,"Merged"
"91",228475,372,0,5,"Merged"
"92",224631,370,28,14,"Merged"
