pull_request_id,pr_src_title
226224,Added a map to Picker API to consolidate Pickers of all localities
216751,Update debian/sid with changes from release 0_11
219264,grpc-thrift compat
216375,"Initial Doxygen import for core, c++"
216804,Update debian/backports with current debian/sid
227916,Use boringssl non-developer cmake build.
217541,Update debian/sid to relase-0_12_0
219510,Update debian/sid branch for v1.0.0
223231,Use indent as the auto-formatter
216229,Initial C/C++ reference documentation
216595,Endpoints refactoring redux
216616,Cleaning up our build process for windows a little
223185,Update Node API docs to v1.8.4
217378,Re-cutting the 0.12 release from master.
220649,Change ssl_server_fuzzer.c to allow running on oss-fuzz
215315,Switches sample app to remote specs
216380,Pushing the generated documentation on gh-pages.
222388,Partial revert of vsprojects removal
218386,Throw exception if not lower case Metadata.Entry.Key.
228568,Update C++ documentation for 1.28.0
216667,Daily Release 0.11 upport to master
216717,Update debian install instructions
218949,Use correct 'buffer_size_bytes' variable name
217568,Backport BoringSSL + Python gRPC packaging to 0.12
223545,Update C++ and Core documentation to 1.10.0
217428,Merge core end2end tests by fixture
216701,Regenerated doxygen after #3227
217402,BoringSSL integration
216684,Switch to indent-based formatting
216697,Update documentation
222214,Updated docs to 1.6.0
220570,Make cmake search for preinstalled protobuf packages in package mode and use officially documented variable names for getting library names
222155,Update C# API reference
219427,Updating C++ and core documentation to 1.0.
221617,Change bound port to get Node distrib tests to work again
216275,Auto-update Python documentation
218327,Fix a memory leak caused by the obvious way of using server APIs
226644,Run gRPC C++ tests on iOS
227689,Add Objective-C API refernce
224110,Add C# docs for 1.12
227275,Add generated API docs for grpc-dotnet
221581,Changing license to Apache v2
218109,Update gh-pages to 0.13
227501,Use subtree on upb instead of submodule
227540,"Backport ""Use subtree on upb instead of submodule #20662"""
220678,Changing license to Apache v2.
223010,Update docs for Python and C/C++ to 1.8.0
227432,Update PHPUnit4.8 to PHPUnit5.7 and README
216169,Updating debian/sid with the 0.10.0 release.
218485,Add support for establishing client channel using existing FD
215940,Bring the debian/sid branch up to date with upstream master
223651,add ALTS kokoro tests
219564,Add docstrings in Beta elements in python_generator.cc
219356,[C-API] server
215847,Improvements to Debian packaging targeting unstable
221279,Doc updates 1.3.0
217748,Fix Metadata.cs for coreclr
219699,Upmerge from 1.0.x
222723,Update clang-format to 5.0
212204,Docker
227721,Change channelz code to use nlohmann::json library.
226561,c++ doc update
216507,Added node documentation
223586,Add ALTS code to grpc/core
