,pull_request_id,loc_additions,loc_deletions,num_files_changed,merged_status
1,226224,485695,0,3000,Rejected
2,216751,432351,6097,3000,Merged
3,219264,395903,1,2104,Rejected
4,216375,392227,36,2614,Merged
5,216804,281244,55831,2940,Merged
6,227916,277435,6469,180,Rejected
7,217541,214411,79566,2642,Merged
8,219510,203509,142821,3000,Merged
9,223231,183029,133410,1162,Rejected
10,216229,173786,0,3000,Rejected
11,216595,160843,23167,1436,Rejected
12,216616,152731,19985,1412,Merged
13,223185,143289,20806,94,Merged
14,217378,118723,32369,1629,Merged
15,220649,115154,60833,3000,Rejected
16,215315,105991,4751,820,Rejected
17,216380,97187,2,804,Merged
18,222388,94336,2321,707,Rejected
19,218386,87397,80048,3000,Rejected
20,228568,87150,23767,1843,Merged
21,216667,79916,39267,2677,Merged
22,216717,79562,39255,2677,Rejected
23,218949,66597,403929,3000,Rejected
24,217568,62952,221457,2095,Rejected
25,223545,61756,88684,1614,Merged
26,217428,61343,224423,2038,Rejected
27,216701,60719,28138,1915,Merged
28,217402,60109,223173,2040,Merged
29,216684,56708,40203,496,Rejected
30,216697,56385,26804,1900,Rejected
31,222214,54651,22086,982,Merged
32,220570,54217,79374,2777,Rejected
33,222155,47025,18814,1377,Merged
34,219427,46768,24138,1009,Merged
35,221617,46394,69706,2678,Rejected
36,216275,45835,0,128,Merged
37,218327,45780,371,10,Rejected
38,226644,44738,0,236,Rejected
39,227689,42546,0,449,Merged
40,224110,41542,35903,114,Merged
41,227275,41037,0,124,Merged
42,221581,39895,65350,2630,Merged
43,218109,38988,16838,646,Merged
44,227501,37040,5,121,Merged
45,227540,37040,5,121,Merged
46,220678,36998,61372,2463,Rejected
47,223010,36844,22703,1140,Merged
48,227432,34863,20741,801,Rejected
49,216169,34651,9635,451,Merged
50,218485,33242,20599,573,Rejected
51,215940,33194,9373,530,Merged
52,223651,31628,18556,603,Rejected
53,219564,30928,5415,619,Rejected
54,219356,29753,17033,126,Rejected
55,215847,26767,5874,406,Rejected
56,221279,25648,7365,837,Merged
57,217748,24871,7340,610,Rejected
58,219699,24839,3054,264,Merged
59,222723,24469,20065,844,Merged
60,212204,24086,3271,216,Rejected
61,227721,23819,696,23,Rejected
62,226561,23667,9630,1339,Merged
63,216507,23552,0,45,Merged
64,223586,23084,597,122,Merged
65,223585,23084,597,122,Rejected
66,223427,23040,597,122,Merged
67,223584,23040,597,122,Rejected
68,219435,23023,3695,399,Rejected
69,223576,22981,641,130,Rejected
70,219668,22957,5,208,Merged
71,218378,22863,17605,750,Merged
72,225614,22307,4850,1223,Merged
73,216936,22111,2060,152,Merged
74,221159,21865,6779,62,Merged
75,228178,21678,89699,40,Merged
76,217327,21346,6847,156,Merged
77,220917,20726,3228,340,Rejected
78,215453,20642,2803,14,Merged
79,221710,20266,12145,45,Merged
80,216661,20135,1152,182,Merged
81,216606,20132,772,179,Merged
82,217098,19901,10135,515,Merged
83,219631,18864,962,166,Merged
84,219910,18580,3940,431,Merged
85,228157,18363,233436,52,Rejected
86,218290,17967,3,19,Merged
87,218293,17734,1,10,Rejected
88,217103,17021,5359,183,Merged
89,217124,17005,5361,184,Rejected
90,220979,16645,1,4,Merged
91,217220,16448,3058,363,Merged
92,221083,16371,8706,511,Rejected
93,224835,16336,4820,1176,Merged
94,223828,16183,16104,6,Rejected
95,228444,15522,9052,168,Rejected
96,227639,15185,407076,3000,Rejected
97,216853,15171,407076,3000,Rejected
98,216761,15147,407076,3000,Rejected
99,216664,15092,7262,609,Merged
100,224639,15056,1063,38,Merged
101,227924,15042,17683,1353,Merged
102,216762,15000,407181,3000,Merged
103,217938,14694,5091,436,Merged
104,222960,14674,10022,444,Merged
105,218636,14327,13234,126,Rejected
106,212171,14147,2519,62,Merged
107,220900,14095,1629,1024,Merged
108,216613,13699,0,82,Merged
109,220302,13608,12303,143,Merged
110,227272,13503,11400,19,Rejected
111,218682,13498,940,570,Merged
112,211960,13387,12656,187,Merged
113,216861,13365,402127,2673,Merged
114,216833,13297,5096,908,Merged
115,218499,13252,5138,552,Merged
116,215448,13172,4939,3,Merged
117,223308,13102,8282,233,Merged
118,226304,13095,3703,1184,Merged
119,218125,13089,4483,348,Merged
120,218841,12917,4994,552,Rejected
121,216817,12914,17,5,Merged
122,224667,12491,1549,35,Merged
123,228272,12336,0,48,Rejected
124,222995,12321,10224,88,Merged
125,222961,12261,12471,446,Merged
126,222606,12242,12454,444,Merged
127,216556,12152,38,654,Merged
128,222376,11900,7604,527,Merged
129,216607,11786,0,621,Merged
130,228078,11725,55124,2345,Merged
